Tipo,"Denominación",N°,Fecha,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
Acuerdo,"Acuerdo sobre improcedencia del recursos de reposición en contra de sus decisiones",S/N,09.06.2011,"Diario Oficial
09.06.2011","Sin modificaciones","Sí","Se declaran inadmisibles los recursos de reposición que se presenten ante el Consejo"
Acuerdo,"Acuerdo del Consejo para la Transparencia sobre el tratamiento de los conflictos de intereses",S/N,09.11.2009,"Sitio web del organismo 9.11.2009","Sin modificaciones","No","Fija los lineamientos para aquellos casos en que haya conflicto de intereses"
Acuerdo,"Acuerdo adoptado por el Consejo para la Transparencia en su sesión N°63, de 2009: Delegación de ciertas facultades en la autoridad y funcionario que indica",S/N,30.06.2009,"Diario Oficial
06.07.2009","Sin modificaciones","Sí","Delegación de ciertas facultades en la autoridad y funcionario que indica"
Acuerdo,"Extracto de acta de la sesión ordinaria N° 16 del Consejo Directivo del Consejo para la Transparencia",S/N,09.01.2009,"Diario Oficial
24.04.2009","Sin modificaciones","No","Designa al Director General del Consejo para la Transparencia"
Tipo,"Denominación",N°,Fecha
depacho
oficio,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
Oficio,"Solicita instrucción de sumario",706,20.02.2014,"","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en contra del Alcalde de la Municipalidad de Ovalle, por infracción al derecho de acceso a la información."
Oficio,"Solicita instrucción de sumario",669,14.02.2014,"","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en contra del Alcalde de la Municipalidad de San Pedro de la Paz, por infracción al derecho de acceso a la información."
Oficio,"Solicita instrucción de sumario",602,11.02.2014,"","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en contra del Alcalde de la Municipalidad de Copiapó, por infracción a los deberes de transparencia activa."
Oficio,"Solicita instrucción de sumario",11,06.01.2014,"","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en contra del Presidente del Consejo de Defensa del Estado, por infracción al derecho de acceso a la información."
Oficio,"Solicita instrucción de sumario",5464,26.12.2013,"","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en contra del Alcalde de la Municipalidad de Lota, por infracción al derecho de acceso a la información pública."
Oficio,"Solicita instrucción de sumario",3948,13.09.2013,"Notificación electrónica 08.10.2013","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en la Corporación Munipal de Chonchi, por incumplimiento de Reclamos C936-11 y C269-13."
Oficio,"Solicita instrucción de sumario",3947,13.09.2013,"Notificación electrónica 08.10.2013","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario en la Corporación Munipal de Pta. Arenas, por incumplimiento de Reclamos C480-11 y CC805-12."
Oficio,"Solicita instrucción de sumario",2392,30.04.2013,"Notificación electrónica 17.06.2013","N/A","No","Solicita a Contraloría, se incoe un sumario administrativo en contra de la Sra. Directora Nacional del Servicio Electoral para establecer si su conducta en la etapa de cumplimiento de la decisión recaída en el Amparo Rol C1419-12."
Oficio,"Solicita instrucción de sumario",2513,30.04.2013,"Notificación electrónica 24.06.2013","N/A","No","Solicita a Contraloría, se incoe un sumario administrativo en contra del Sr. Directora del Hospital Guillermo Grant Benavneta para establecer si su conducta en la etapa de cumplimiento de la decisión recaída en el Amparo Rol C16-13."
Oficio,"Solicita instrucción de sumario",1599,30.04.2013,"Notificación electrónica 16.04.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Valdiva, Amparo C1769-12"
Oficio,"Solicita instrucción de sumario",1695,16.05.2012,"Notificación electrónica 16.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Chile Chico, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C1194-11"
Oficio,"Solicita instrucción de sumario",1477,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Iquique, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1476,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Independencia, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1474,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Estación Central, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1470,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Río Bueno, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1466,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Rengo, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1463,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Las Cabras, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1462,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Coltauco, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1461,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Los Álamos, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1458,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Futrono, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1453,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de El Monte, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1451,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Nancagua, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",104,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Concón, Reclamo C693-11"
Oficio,"Solicita instrucción de sumario",3.742,10.10.2012,"Notificación
10.10.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Monte Patria, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C646-12"
Oficio,"Solicita instrucción de sumario",3.741,10.10.2012,"Notificación
10.10.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Mostazal, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C611-11"
Oficio,"Solicita instrucción de sumario",3.740,10.10.2012,"Notificación
10.10.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad deSan Clemente, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C460-12"
Oficio,"Solicita instrucción de sumario",3.633,4.10.2012,"Notificación
4.10.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Lo Prado, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C140-12"
Oficio,"Solicita instrucción de sumario",3.632,4.10.2012,"Notificación
4.10.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de San José de Maipo, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C154-12 y C1583-11"
Oficio,"Solicita instrucción de sumario",3.284,5.09.2012,"Notificación
5.09.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al Director del SERVIU de la Región Metropolitana y al Subsecretario de Vivienda y Urbanismo por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C520-12"
Oficio,"Solicita instrucción de sumario",3.206,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Concepción, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C354-11 y C388-11"
Oficio,"Solicita instrucción de sumario",3.205,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Puerto Varas, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C608-11"
Oficio,"Solicita instrucción de sumario",3.204,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la alcaldesa de la Municipalidad de Máfil, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C894-11"
Oficio,"Solicita instrucción de sumario",3.203,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Vicuña, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C1152-11"
Oficio,"Solicita instrucción de sumario",3.202,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a Intendenta Regional de Atacama, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C1068-11"
Oficio,"Solicita instrucción de sumario",3.201,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Llanquihue, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamos C506-11 y C507-11"
Oficio,"Solicita instrucción de sumario",3.199,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Las Guaitecas, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C601-11"
Oficio,"Solicita instrucción de sumario",3.198,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Calama, por incumplimiento tras decisiones del Consejo para la Transparencia sobre reclamos C317-11 y C1437-11"
Oficio,"Solicita instrucción de sumario",3.197,31.08.2012,"Notificación
31.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Contulmo, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C82-12"
Oficio,"Solicita instrucción de sumario",2.962,20.08.2012,"Notificación
20.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Chile Chico, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C1111-11"
Oficio,"Solicita instrucción de sumario",2.961,20.08.2012,"Notificación
20.08.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcaldesa de la Municipalidad de Chanco, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C60-12"
Oficio,"Solicita instrucción de sumario",1.695,16.05.2012,"Notificación electrónica 16.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Chile Chico, por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C1194-11"
Oficio,"Solicita instrucción de sumario",1.481,03.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Maipú, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.478,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Talca, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.477,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Iquique, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.476,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Independencia, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.475,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de San Joaquín, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.474,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Estación Central, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.473,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Cauquenes, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.472,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Monte Patria, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.471,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Angol, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.470,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Río Bueno, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.469,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Lampa, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.468,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de La Ligua, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.467,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Villarrica, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.466,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Rengo, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.465,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Padre Hurtado, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.464,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Teodoro Schmidt, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.463,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Las Cabras, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.462,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Coltauco, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.461,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Los Álamos, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.460,02.05.2012,"Notificación electrónica 
03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Nogales, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.459,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Coelemu, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.458,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Futrono, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.457,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Mariquina, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.456,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Maullín, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.455,02.05.2112,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Traiguén, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.454,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Bulnes, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.453,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de El Monte, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.452,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Lebu, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.451,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Nancagua, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.450,02.05.2012,"Notificación electrónica 03.05.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Purranque, fiscalización en materia de Transparencia Activa"
Oficio,"Solicita instrucción de sumario",1.422,30.04.2012,"Notificación 30.04.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Sierra Gorda, Amparo C1095-11"
Oficio,"Solicita instrucción de sumario",1.021,02.04.2012,"Notificación 02.04.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Taltal, Reclamo R8-09"
Oficio,"Solicita instrucción de sumario",933,27.03.2012,"Notificación 27.03.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alcalde de la Municipalidad de Cartagena, Amparo C1436-11"
Oficio,"Solicita instrucción de sumario",528,17.02.2012,"Notificación 17.02.2012","N/A","No","Solicita a la Contraloría instrucción de sumario al alaclde de la Municipalidad de San Pedro La Paz, Amparo C1373-11"
Oficio,"Solicita instrucción de sumario",527,17.02.2012,"Notificación 17.02.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a Fondo Nacional de Salud, Amparo C1190-11"
Oficio,"Solicita instrucción de sumario",195,20.01.2012,"Notificación 20.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a Gendarmería de Chile, Amparo C1218-11"
Oficio,"Solicita instrucción de sumario",107,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Conchalí, Reclamo C179-11"
Oficio,"Solicita instrucción de sumario",106,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de San Fernando, Reclamo C861-10"
Oficio,"Solicita instrucción de sumario",105,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de El Tabo, Reclamo R21-09"
Oficio,"Solicita instrucción de sumario",104,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Concón, Reclamo C693-11"
Oficio,"Solicita instrucción de sumario",103,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Curicó, Reclamo C497-10"
Oficio,"Solicita instrucción de sumario",102,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Talcahuano, Reclamo C265-11"
Oficio,"Solicita instrucción de sumario",101,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Constitución, Reclamo C649-11"
Oficio,"Solicita instrucción de sumario",100,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Papudo, Reclamo C581-09 y C494-10"
Oficio,"Solicita instrucción de sumario",99,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Cabrero, Reclamo C813-10"
Oficio,"Solicita instrucción de sumario",98,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Chiguayante, Reclamo C497-09"
Oficio,"Solicita instrucción de sumario",97,11.01.2012,"Notificación 11.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Pichidegua, Reclamo C88-11"
Oficio,"Solicita instrucción de sumario",80,10.01.2012,"Notificación 10.01.2012","N/A","No","Solicita a la Contraloría instrucción de sumario a la Municipalidad de Independencia, Amparo C139-11"
Oficio,"Solicita instrucción de sumario",3240,06.12.2011,"Notificación 06.12.2011","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de Viña del Mar por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C563-10."
Oficio,"Solicita instrucción de sumario",2351,12.09.2011,"Notificación 12.09.2011","N/A","No","Solicita a la Contraloría instrucción de sumario a la Subsecretaría para las Fuerzas Armadas tras decisión del Consejo para la Transparencia sobre reclamo C632-11"
Oficio,"Solicita instrucción de sumario",2144,25.08.2011,"Notificación 25.08.2011","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de El Quisco por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C388-09"
Oficio,"Solicita instrucción de sumario",1600,30.06.2011,"Notificación 30.06.2011","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de Iquique por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C34-11"
Oficio,"Solicita instrucción de sumario",727,28.03.2011,"Notificación 28.03.2011","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario contra la Alcaldesa de la Municipalidad de Algarrobo, para establecer si su conducta en la etapa de cumplimiento de decisión Amparo C674-10, constituye infracción del art. 46  de la Ley N° 20.285."
Oficio,"Solicita instrucción de sumario",726,25.03.2011,"Notificación 25.03.2011","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de Cochamó por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo A308-09."
Oficio,"Solicita instrucción de sumario",717,25.03.2011,"Notificación 25.03.2011","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario contra la Alcaldesa de la Municipalidad de Viña del Mar, para establecer si su conducta en la etapa de cumplimiento de decisión Amparo C293-10, constituye infracción del art. 46  de la Ley N° 20.285."
Oficio,"Solicita instrucción de sumario",662,18.03.2011,"Notificación 18.03.2011","N/A","No","Solicita a la Contraloría instrucción de sumario al Servicio de Vivienda y Urbanismo de la región del Maule por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo C62-10."
Oficio,"Solicita instrucción de sumario",412,25.02.2011,"Notificación 25.02.2011","N/A","No","Solicita a la Contraloría General de la República instrucción de sumario contra el Alcalde de la Municipalidad de Vitacura, para establecer si su conducta en la etapa de cumplimiento de decisión Amparo C756-10, constituye denegación infundada del derecho de acceso a la información del art. 45 y siguientes de la Ley N° 20.285."
Oficio,"Solicita instrucción de sumario",310,07.02.2011,"Notificación 07.02.2011","N/A","No","Solicita a la Contraloría instrucción de sumario al Servicio de Salud Viña del Mar – Quillota"
Oficio,"Solicita instrucción de sumario",719,26.04.2010,"Notificación 26.04.2010","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de El Carmen por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo R6-09."
Oficio,"Solicita instrucción de sumario",633,08.04.2010,"Notificación 09.04.2010","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de Ovalle por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo R13-09."
Oficio,"Solicita instrucción de sumario",637,06.04.2010,"Notificación 09.04.2010","N/A","No","Solicita a la Contraloría instrucción de sumario a la municipalidad de Pencahue por incumplimiento tras decisión del Consejo para la Transparencia sobre reclamo R19-09."
Tipo,"Denominación",N°,Fecha,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
